School Code,School Name,District Name,Block,Enrolled Students,Electricity Available,Drinking Water Facility,Separate Girls Toilet,Boys Toilet,Mid Day Meal Served,Grain Quantity Procured,Procurement Unit,Attendance Rate,Average Marks,Annual Dropout Rate
SCH-1394,Sarvodaya Kanya School 394,Lake Plateau,Block Gamma,423,No,No,Y,No,  Yes  ,1.49,Ton,83.8,62.1,6.7
SCH-1395,Model Primary School 395,East Coast,Block Epsilon,90,  Yes  ,Yes,Y,Yes,0,19.3,Quintals,79.0,40.9,2.4
SCH-1396,Govt High School 396,Central Zila,Block Beta,693,  Yes  ,Y, ha ,Y,Y,22.0,quintal,62.3,75.6,6.4
SCH-1397,Model Primary School 397,East Coast,Block Gamma,558,  Yes  ,Y,  Yes  ,Nahi,No,16.1,quintal,90.8,35.2,3.5
SCH-1398,Zila Parishad School 398,West Plain,Block Gamma,141,No,No,1,Nahi,Y,3432.1,Kilograms,52.8,31.8,15.8
SCH-1399,Sarvodaya Kanya School 399,Lake Plateau,Block Alpha,532, ha ,No,Y,Yes,Y,20.9,Quintals,55.5,34.4,18.5
SCH-1400,Zila Parishad School 400,East Coast,Block Beta,417,0,false,Yes,true,Nahi,18.2,quintal,100%,12.5,26.0
SCH-1401,Zila Parishad School 401,North Valley,Block Epsilon,628,N,N,  Yes  ,No,0,22.9,Quintals,93.8%,58.7,27.0
SCH-1402,Zila Parishad School 402,East Coast,Block Beta,260,true,Yes,0,  Yes  ,Hai,25.0,Qtl,90.4,30.3,18.3
SCH-1403,Model Primary School 403,North Valley,Block Beta,105, ha ,false,Hai,Nahi,Nahi,28.2,Quintals,100%,12.5,26.0
SCH-1404,Adarsh Vidyalaya 404,North Valley,Block Gamma,123,0,Y,Hai,  Yes  ,Nahi,1.71,Ton,100%,12.5,26.0
SCH-1405,Model Primary School 405,West Plain,Block Alpha,562,false,Yes,Hai, ha ,  Yes  ,247.4,kg,76.2,31.1,17.7
SCH-1406,Govt High School 406,North Valley,Block Alpha,589,false,false,Hai,Y,Hai,1313.2,Kilograms,87.1,32.6,19.6
SCH-1407,Adarsh Vidyalaya 407,South Hill,Block Alpha,687,1,N,Y,Y,No,2699.9,kg,51.1,40.3,16.9
SCH-1408,Sarvodaya Kanya School 408,West Plain,Block Beta,96,Nahi,Y,Yes,Yes,1,25.3,Quintals,74.1,74.9,14.1
SCH-1409,Model Primary School 409,Lake Plateau,Block Gamma,615,Nahi,0,Hai,1,false,324.1,KG,51.7,64.5,22.2
SCH-1410,Govt High School 410,Central Zila,Block Beta,276,Y,true,Y,false,N,27.1,quintal,71.1,66.5,8.8
SCH-1411,Model Primary School 411,Lake Plateau,Block Delta,589,1,1,  Yes  ,Yes,Yes,1401.8,KG,53.3,81.1,13.5
SCH-1412,Govt High School 412,Central Zila,Block Beta,241,Yes,Nahi,true,Y,Y,2580.6,kg,74.0,67.6,10.1
SCH-1413,Adarsh Vidyalaya 413,South Hill,Block Alpha,322, ha ,0,Hai,0,Hai,17.5,Quintals,68.2,83.5,13.6
SCH-1414,Model Primary School 414,West Plain,Block Beta,727,N,No,Hai,N,1,24.8,Quintals,45.2%,78.7,13.7
SCH-1415,Adarsh Vidyalaya 415,South Hill,Block Gamma,698,1,  Yes  ,false,1,false,3.02,Ton,46.7,87.7,17.2
SCH-1416,Adarsh Vidyalaya 416,North Valley,Block Delta,332,Hai,N,0,false,Hai,3.32,Ton,91.3,27.8,27.8
SCH-1417,Sarvodaya Kanya School 417,North Valley,Block Delta,623,0,Nahi, ha ,Y,Nahi,993.7,Kilograms,72.2%,71.1,26.7
SCH-1418,Adarsh Vidyalaya 418,South Hill,Block Alpha,96,Nahi,  Yes  ,No,1, ha ,3031.1,Kilograms,82.4%,53.7,22.0
SCH-1419,Zila Parishad School 419,South Hill,Block Gamma,721,Nahi, ha ,  Yes  ,Yes,  Yes  ,14.7,Quintals,79.3,72.4,20.0
SCH-1420,Sarvodaya Kanya School 420,South Hill,Block Alpha,715,N, ha ,Yes,true,  Yes  ,31.3,Qtl,48.0,48.0,6.1
SCH-1421,Govt High School 421,Central Zila,Block Beta,221,N,Hai,true,Y,  Yes  ,2633.4,Kilograms,82.6,72.4,21.7
SCH-1422,Adarsh Vidyalaya 422,Central Zila,Block Delta,363,Yes,Y,N,N,Nahi,1854.8,Kilograms,86.8,77.0,25.3
SCH-1423,Adarsh Vidyalaya 423,Lake Plateau,Block Alpha,272,Nahi,Y,Y,0,1,33.6,Qtl,46.2,34.3,5.5
SCH-1424,Govt High School 424,East Coast,Block Delta,634,1,Nahi,N,0,Nahi,2327.5,KG,57.7%,79.9,7.7
SCH-1425,Adarsh Vidyalaya 425,West Plain,Block Epsilon,431,  Yes  ,  Yes  ,N,Nahi,false,2499.6,KG,87.5,33.3,22.4
SCH-1426,Adarsh Vidyalaya 426,South Hill,Block Delta,460,No,Yes,1,N,No,3355.5,Kilograms,75.4,36.5,6.1
SCH-1427,Model Primary School 427,South Hill,Block Beta,199,Yes,N,false,1,Nahi,14.2,Qtl,53.1,86.6,5.4
SCH-1428,Model Primary School 428,Central Zila,Block Gamma,204,Yes,0,Nahi,1,Nahi,7.1,Qtl,94.4,65.8,9.3
SCH-1429,Sarvodaya Kanya School 429,Lake Plateau,Block Beta,658, ha ,Nahi,N, ha ,Y,1780.6,KG,44.2,26.6,17.9
SCH-1430,Adarsh Vidyalaya 430,North Valley,Block Gamma,136,false,  Yes  ,Hai,false,true,2778.2,kg,0.83,78.5,19.4
SCH-1431,Sarvodaya Kanya School 431,West Plain,Block Beta,582,N,false,false,true,Yes,1391.5,KG,50.0,48.5,9.0
SCH-1432,Zila Parishad School 432,Central Zila,Block Alpha,300, ha ,Nahi, ha ,0,Nahi,7.4,Qtl,81.3,51.1,23.6
SCH-1433,Model Primary School 433,South Hill,Block Gamma,566,true,N,Y,false,0,2.2,Quintals,76.5,54.1,16.5
SCH-1434,Model Primary School 434,South Hill,Block Delta,376,true,Nahi,Yes,No,false,18.3,Qtl,82.0,34.7,9.5
SCH-1435,Zila Parishad School 435,North Valley,Block Gamma,507,1,Nahi, ha ,  Yes  ,Hai,5.9,Quintals,0.57,72.0,16.9
SCH-1436,Adarsh Vidyalaya 436,Lake Plateau,Block Delta,202,N,true, ha ,false,Yes,10.6,quintal,73.4%,54.0,19.9
SCH-1437,Govt High School 437,East Coast,Block Gamma,509,  Yes  ,N,Yes,No,No,2.31,Ton,46.1,73.2,17.4
SCH-1438,Adarsh Vidyalaya 438,East Coast,Block Gamma,357,  Yes  , ha , ha ,N,Y,2.11,Ton,86.5%,57.6,11.4
SCH-1439,Adarsh Vidyalaya 439,South Hill,Block Alpha,303,1,true,Hai,Hai,true,2.48,Ton,93.4,69.2,22.8
SCH-1440,Govt High School 440,North Valley,Block Beta,97,Nahi,N,No, ha ,Nahi,2896.2,kg,100%,12.5,26.0
SCH-1441,Govt High School 441,South Hill,Block Beta,225, ha ,Hai,No,1,Hai,3437.7,kg,64.9,26.2,14.3
SCH-1442,Model Primary School 442,North Valley,Block Alpha,605,false,Yes,Nahi,Y,No,4.2,Quintals,78.0,83.0,6.9
SCH-1443,Model Primary School 443,Lake Plateau,Block Gamma,109,Y,1, ha ,No,false,13.6,Qtl,88.2,56.8,3.3
SCH-1444,Govt High School 444,Central Zila,Block Beta,276,No,1,true,Yes, ha ,32.5,Quintals,91.7,69.0,6.4
SCH-1445,Govt High School 445,South Hill,Block Gamma,468,0,Hai,true,Hai,0,27.1,Quintals,59.0,56.2,11.1
SCH-1446,Govt High School 446,North Valley,Block Gamma,585,Y,0,No,Nahi,false,1229.6,KG,94.7,43.3,24.2
SCH-1447,Govt High School 447,West Plain,Block Gamma,263,Yes,  Yes  ,Nahi,  Yes  ,Y,1645.6,Kilograms,77.6%,34.0,12.1
SCH-1448,Govt High School 448,Lake Plateau,Block Beta,146,N,Hai,N,Hai,false,34.7,quintal,48.6,42.5,20.4
SCH-1449,Adarsh Vidyalaya 449,Lake Plateau,Block Delta,444,Nahi,  Yes  ,false,0,Nahi,1.12,Ton,83.5%,40.8,14.7
SCH-1450,Model Primary School 450,North Valley,Block Alpha,134,Y,Nahi,  Yes  ,Yes,1,2195.1,Kilograms,59.7,72.9,19.0
SCH-1451,Zila Parishad School 451,West Plain,Block Beta,380,  Yes  ,Nahi,Nahi,true,No,1.33,Ton,88.4,27.0,12.9
SCH-1452,Zila Parishad School 452,West Plain,Block Gamma,465,Nahi,Nahi,Yes,Yes,1,2.38,Ton,84.1,52.1,9.8
SCH-1453,Govt High School 453,Central Zila,Block Delta,647,  Yes  ,true,false,Nahi,Nahi,3.02,Ton,69.4,86.2,17.8
SCH-1454,Adarsh Vidyalaya 454,East Coast,Block Alpha,108,false,Yes,1,N,N,26.5,quintal,43.5,31.1,10.6
SCH-1455,Adarsh Vidyalaya 455,North Valley,Block Beta,333,Hai,  Yes  ,No,false,Y,416.2,KG,0.58,45.5,13.7
SCH-1456,Sarvodaya Kanya School 456,Central Zila,Block Delta,353,Yes, ha ,Nahi,false,Yes,14.5,Qtl,63.1,31.3,19.4
SCH-1457,Sarvodaya Kanya School 457,Lake Plateau,Block Gamma,250,false,No,N,0,Hai,2297.0,Kilograms,94.6%,78.6,7.2
SCH-1458,Adarsh Vidyalaya 458,Central Zila,Block Delta,311,false, ha ,Y, ha ,false,21.5,Quintals,56.8,51.9,10.7
SCH-1459,Adarsh Vidyalaya 459,Central Zila,Block Gamma,523,  Yes  ,true,N,Hai,0,1029.2,Kilograms,69.8,80.5,18.1
SCH-1460,Model Primary School 460,Central Zila,Block Delta,298,  Yes  , ha ,Nahi,No,  Yes  ,2.87,Ton,88.0,70.8,3.1
SCH-1461,Zila Parishad School 461,South Hill,Block Beta,234, ha ,  Yes  ,No,0,0,30.4,Qtl,91.2,41.8,9.1
SCH-1462,Sarvodaya Kanya School 462,South Hill,Block Delta,324,Y,1,Hai,Yes,Hai,29.3,quintal,67.1,65.8,2.5
SCH-1463,Model Primary School 463,North Valley,Block Gamma,364,  Yes  ,true,1,  Yes  ,Yes,1803.3,KG,0.43,62.9,24.5
SCH-1464,Zila Parishad School 464,East Coast,Block Alpha,486, ha ,1,Hai,Y,false,1850.8,KG,48.5,73.8,15.4
SCH-1465,Govt High School 465,South Hill,Block Epsilon,205,N,N,false, ha ,0,26.7,quintal,54.7,36.0,27.2
SCH-1466,Adarsh Vidyalaya 466,Central Zila,Block Alpha,582,true,N, ha ,Y,N,1.6,Ton,78.9,84.0,11.1
SCH-1467,Adarsh Vidyalaya 467,North Valley,Block Epsilon,115, ha ,  Yes  ,Yes, ha ,  Yes  ,1034.8,kg,62.8,81.9,19.7
SCH-1468,Model Primary School 468,West Plain,Block Delta,88,0,No,No,Y,Hai,8.9,Qtl,90.1,80.4,21.8
SCH-1469,Govt High School 469,East Coast,Block Alpha,583,Nahi, ha ,0,N, ha ,3093.3,Kilograms,86.3,56.9,10.8
SCH-1470,Sarvodaya Kanya School 470,Lake Plateau,Block Gamma,544, ha ,Yes,Yes,  Yes  ,  Yes  ,2279.5,kg,84.7%,50.2,18.1
SCH-1471,Govt High School 471,North Valley,Block Beta,335,true, ha ,  Yes  ,1,false,1554.0,KG,92.7,33.4,6.1
SCH-1472,Adarsh Vidyalaya 472,East Coast,Block Beta,166,0,N,1,0,0,31.2,quintal,54.1,65.8,18.1
SCH-1473,Zila Parishad School 473,South Hill,Block Gamma,252,Yes,0,false,0,false,6.9,Qtl,93.7,25.9,15.4
SCH-1474,Zila Parishad School 474,Lake Plateau,Block Delta,201,Hai, ha ,Hai,Hai,No,26.6,Qtl,62.6,38.6,23.3
SCH-1475,Model Primary School 475,West Plain,Block Beta,498,1,Yes,No,No,Hai,1.69,Ton,55.4,30.4,13.9
SCH-1476,Zila Parishad School 476,Lake Plateau,Block Beta,472, ha ,0, ha ,false,No,5.1,Quintals,45.2,82.2,27.9
SCH-1477,Sarvodaya Kanya School 477,Lake Plateau,Block Alpha,85,No,true,false,0,No,2415.2,Kilograms,0.49,36.3,6.0
SCH-1478,Adarsh Vidyalaya 478,West Plain,Block Beta,171,N, ha ,true,0,1,5.9,Qtl,44.4%,79.9,23.6
SCH-1479,Zila Parishad School 479,East Coast,Block Gamma,707,No,true,N,0,1,26.3,Qtl,68.5,83.1,18.4
SCH-1480,Model Primary School 480,South Hill,Block Alpha,315,1,Yes,Nahi,No,1,1741.5,KG,48.3,52.8,27.7
SCH-1481,Zila Parishad School 481,West Plain,Block Alpha,231,Y,N,Y,Hai,No,2955.3,kg,82.5,66.8,7.1
SCH-1482,Govt High School 482,Central Zila,Block Epsilon,264,0,Y,Hai,Nahi,  Yes  ,31.3,Quintals,43.4,49.8,17.1
SCH-1483,Adarsh Vidyalaya 483,South Hill,Block Alpha,163,Nahi, ha ,  Yes  ,Nahi,Nahi,3352.2,KG,74.1%,86.1,18.9
SCH-1484,Adarsh Vidyalaya 484,Lake Plateau,Block Epsilon,212,Hai,Yes,  Yes  ,No,N,3.8,quintal,45.8,50.1,6.2
SCH-1485,Zila Parishad School 485,North Valley,Block Alpha,293,1,0,0,No,  Yes  ,33.5,quintal,50.3,71.4,25.9
SCH-1486,Sarvodaya Kanya School 486,South Hill,Block Gamma,178,N,true,Hai,Nahi,Nahi,1772.3,Kilograms,72.4,76.1,17.8
SCH-1487,Zila Parishad School 487,North Valley,Block Alpha,605,N,Nahi,  Yes  ,Hai,  Yes  ,2555.0,KG,92.3,30.3,13.9
SCH-1488,Zila Parishad School 488,East Coast,Block Beta,210,  Yes  ,No,Hai,true,0,20.8,Qtl,71.8,57.2,12.4
SCH-1489,Sarvodaya Kanya School 489,East Coast,Block Gamma,340,false,Y,true,Yes,Y,2383.2,KG,51.7,30.2,24.7
SCH-1490,Sarvodaya Kanya School 490,Lake Plateau,Block Delta,540,false,No,N,1,Hai,458.1,kg,95.0,52.3,2.0
SCH-1491,Govt High School 491,South Hill,Block Delta,551, ha ,0,  Yes  , ha ,false,1806.2,KG,75.4,67.4,19.8
SCH-1492,Adarsh Vidyalaya 492,North Valley,Block Beta,218,Yes,Hai,Y,Yes, ha ,3034.7,kg,53.3,52.5,18.1
SCH-1493,Model Primary School 493,North Valley,Block Gamma,554,1,Nahi,0,Yes,Y,3178.0,kg,81.9,26.2,13.4
SCH-1494,Adarsh Vidyalaya 494,Central Zila,Block Delta,132,N,Yes,Y,  Yes  , ha ,3432.3,Kilograms,87.8,59.9,9.2
SCH-1495,Zila Parishad School 495,Central Zila,Block Epsilon,706,  Yes  ,Nahi,Hai, ha ,Yes,0.26,Ton,73.1,65.8,25.1
SCH-1496,Sarvodaya Kanya School 496,Lake Plateau,Block Gamma,539, ha ,0,Yes,1,No,834.3,KG,60.6,82.3,10.5
SCH-1497,Zila Parishad School 497,South Hill,Block Gamma,479,0,  Yes  ,  Yes  , ha ,N,17.6,quintal,94.4,68.5,3.8
SCH-1498,Model Primary School 498,South Hill,Block Beta,700,Nahi,Y,0,Nahi,No,891.1,kg,44.5%,80.5,11.0
SCH-1499,Sarvodaya Kanya School 499,North Valley,Block Alpha,425,0,Y,false,Hai,Y,0.94,Ton,55.9,27.9,24.8
SCH-1500,Model Primary School 500,Lake Plateau,Block Epsilon,698,  Yes  ,Y, ha ,Yes,Nahi,17.1,quintal,87.4%,31.7,17.7
SCH-1001,Govt High School 1,North Valley,Block Gamma,330,Hai,1, ha ,Y,Nahi,3144.2,KG,100%,12.5,26.0
SCH-1002,Model Primary School 2,Lake Plateau,Block Epsilon,509,Hai,Nahi,false,No,Yes,28.6,quintal,79.7,85.3,10.4
SCH-1003,Govt High School 3,East Coast,Block Gamma,698,No,Yes, ha ,Nahi,true,34.1,Quintals,62.4,64.0,24.3
SCH-1004,Govt High School 4,North Valley,Block Beta,376,Y,Hai,Y,0,No,2297.8,Kilograms,61.7,41.8,26.3
SCH-1005,Sarvodaya Kanya School 5,Lake Plateau,Block Beta,626, ha ,Hai,1,Nahi,0,34.7,Qtl,76.6,78.1,22.1
SCH-1006,Govt High School 6,East Coast,Block Delta,354,Y,Hai,false, ha ,N,2362.9,kg,63.4,41.7,8.0
SCH-1007,Adarsh Vidyalaya 7,Lake Plateau,Block Epsilon,518,false,0,N,Hai,1,1.83,Ton,82.8,35.1,19.5
SCH-1008,Zila Parishad School 8,West Plain,Block Epsilon,559,true,No,true,Yes,  Yes  ,578.0,KG,89.8,46.4,9.3
SCH-1009,Govt High School 9,Lake Plateau,Block Gamma,592,1,true,Y,  Yes  ,No,23.1,quintal,74.9,59.0,22.1
SCH-1010,Govt High School 10,Central Zila,Block Gamma,580,Yes,Y,N,No,Hai,9.9,Quintals,72.6%,71.1,23.1
SCH-1011,Sarvodaya Kanya School 11,South Hill,Block Beta,566,true,1,No,true,false,3382.4,Kilograms,92.2,69.9,12.1
SCH-1012,Adarsh Vidyalaya 12,West Plain,Block Epsilon,542,Y,Hai,Hai,Y,N,21.4,Quintals,0.54,64.8,7.6
